probe	id	pvalue	symbol	group
NM_002613		0.002663892	PDPK1	GSE43942_PEvC
AL049786		0.002665941	CG018	GSE43942_PEvC
NM_001039582		0.002685585	PNCK	GSE43942_PEvC
NM_001846		0.00269286	COL4A2	GSE43942_PEvC
NM_019074		0.002719005	DLL4	GSE43942_PEvC
NM_004795		0.002731559	KL	GSE43942_PEvC
BC051914		0.00274785	NMUR1	GSE43942_PEvC
NM_054110		0.002765211	GALNTL2	GSE43942_PEvC
BC035137		0.002774082	THRA	GSE43942_PEvC
NM_024101		0.002777021	MLPH	GSE43942_PEvC
NM_183240		0.002800363	TMEM37	GSE43942_PEvC
BX648748		0.002821394	GPR177	GSE43942_PEvC
AF370405		0.002822555	ASAH3L	GSE43942_PEvC
NM_002003		0.002866487	FCN1	GSE43942_PEvC
NM_001001974		0.00288887	PLEKHA1	GSE43942_PEvC
NM_139344		0.00293124	BIN1	GSE43942_PEvC
NM_152390		0.002933172	MGC33926	GSE43942_PEvC
NM_001850		0.002943134	COL8A1	GSE43942_PEvC
NM_019555		0.002956558	ARHGEF3	GSE43942_PEvC
BC041829		0.002963321	C17orf39	GSE43942_PEvC
BC002576		0.002986302	MMP2	GSE43942_PEvC
AF466365		0.002989162	MGC22014	GSE43942_PEvC
NM_019099		0.003002865	C1orf183	GSE43942_PEvC
XM_926103		0.003006153	LOC642634	GSE43942_PEvC
AK130276		0.003008348	N/A	GSE43942_PEvC
XM_372579		0.003053707	LOC390604	GSE43942_PEvC
XM_498627		0.003058109	LOC440315	GSE43942_PEvC
BC104914		0.003085068	APXL2	GSE43942_PEvC
BC028679		0.0030856	KIFAP3	GSE43942_PEvC
NM_012134		0.00311886	LMOD1	GSE43942_PEvC
NM_001005367		0.003128105	TTYH1	GSE43942_PEvC
NM_014920		0.003142117	ICK	GSE43942_PEvC
BC012919		0.003144845	KLF7	GSE43942_PEvC
AY358857		0.003152224	MLPH	GSE43942_PEvC
NM_003438		0.00315681	ZNF137	GSE43942_PEvC
BC015822		0.003186224	LTF	GSE43942_PEvC
BC071899		0.003219685	ING5	GSE43942_PEvC
NM_003278		0.003221495	CLEC3B	GSE43942_PEvC
NM_005497		0.003229583	GJA7	GSE43942_PEvC
NM_000664		0.003237093	ACACA	GSE43942_PEvC
NM_006059		0.003256599	LAMC3	GSE43942_PEvC
NM_020762		0.003285259	SRGAP1	GSE43942_PEvC
NM_016354		0.003291892	SLCO4A1	GSE43942_PEvC
NM_000602		0.003303508	SERPINE1	GSE43942_PEvC
AY336750		0.003315304	ARHGAP19	GSE43942_PEvC
NM_001718		0.003338692	BMP6	GSE43942_PEvC
BC029792		0.003345494	SLC27A3	GSE43942_PEvC
NM_000616		0.003367304	CD4	GSE43942_PEvC
NM_174938		0.003371973	FRMD3	GSE43942_PEvC
BC062325		0.003382265	USP34	GSE43942_PEvC
NM_006193		0.003384848	PAX4	GSE43942_PEvC
NM_017931		0.003423349	FLJ20699	GSE43942_PEvC
BC019088		0.003426815	EDEM1	GSE43942_PEvC
NM_007368		0.003431702	RASA3	GSE43942_PEvC
NM_001040092		0.003439579	ENPP2	GSE43942_PEvC
BC011353		0.003439691	LPL	GSE43942_PEvC
BC095394		0.00344071	DKFZP686A01247	GSE43942_PEvC
BC064422		0.003472678	PNCK	GSE43942_PEvC
BC001279		0.003479176	MFAP3L	GSE43942_PEvC
BC008091		0.003479264	N/A	GSE43942_PEvC
NM_000237		0.003500534	LPL	GSE43942_PEvC
AY336979		0.003502218	GTF2IRD2	GSE43942_PEvC
CR933601		0.003553436	FLJ31033	GSE43942_PEvC
NM_152403		0.003554104	FLJ39155	GSE43942_PEvC
NM_033315		0.00355746	RASL10B	GSE43942_PEvC
XM_935368		0.003565777	LOC646329	GSE43942_PEvC
NM_002593		0.003577394	PCOLCE	GSE43942_PEvC
BC107125		0.003598063	LOC349136	GSE43942_PEvC
NM_022462		0.003605105	HIF3A	GSE43942_PEvC
AB033063		0.003607917	HEG1	GSE43942_PEvC
NM_024076		0.003625437	KCTD15	GSE43942_PEvC
NM_001005242		0.003633282	PKP2	GSE43942_PEvC
BC007833		0.003638063	PIP5K1A	GSE43942_PEvC
XM_932726		0.003696304	LOC653197	GSE43942_PEvC
XM_926109		0.003707724	LOC642646	GSE43942_PEvC
BC033293		0.003715596	HLA-C	GSE43942_PEvC
NM_015927		0.003734816	TGFB1I1	GSE43942_PEvC
XM_498578		0.003758824	C14orf82	GSE43942_PEvC
BC091475		0.003772382	FKBP2	GSE43942_PEvC
AK124174		0.00379104	N/A	GSE43942_PEvC
AF289570		0.003794816	N/A	GSE43942_PEvC
NM_024980		0.003805071	GPR157	GSE43942_PEvC
NM_001928		0.003843766	CFD	GSE43942_PEvC
NM_016134		0.003848834	PGCP	GSE43942_PEvC
NM_198857		0.00385068	FLJ43855	GSE43942_PEvC
NM_130759		0.003871268	GIMAP1	GSE43942_PEvC
XM_934359		0.003880831	C3orf41	GSE43942_PEvC
NM_022835		0.003883612	PLEKHG2	GSE43942_PEvC
BC008611		0.003890665	HLA-A	GSE43942_PEvC
NM_000041		0.00390673	APOE	GSE43942_PEvC
BC009499		0.003914126	STXBP6	GSE43942_PEvC
NM_017980		0.003960522	LIMS2	GSE43942_PEvC
NM_033309		0.0039672	MGC4655	GSE43942_PEvC
BC019864		0.003980673	PDE4A	GSE43942_PEvC
BX537916		0.003992926	DKFZP686A01247	GSE43942_PEvC
BC035615		0.004002372	MYO7B	GSE43942_PEvC
NM_017515		0.004011744	SLC35F2	GSE43942_PEvC
NM_153036		0.004051324	C6orf78	GSE43942_PEvC
NM_145052		0.004052569	RP11-311P8.3	GSE43942_PEvC
NM_058174		0.004067096	COL6A2	GSE43942_PEvC
NM_018593		0.004068857	SLC16A10	GSE43942_PEvC
BC112336		0.004094694	ROBO1	GSE43942_PEvC
XM_926720		0.004095648	PSPHL	GSE43942_PEvC
XM_931897		0.004109107	LOC653210	GSE43942_PEvC
NM_030819		0.004109405	GFOD2	GSE43942_PEvC
BC020194		0.004111538	C9orf3	GSE43942_PEvC
BC074784		0.00412952	P2RY1	GSE43942_PEvC
BC025658		0.004155942	GRRP1	GSE43942_PEvC
NM_001017372		0.004160011	SLC27A6	GSE43942_PEvC
XM_209163		0.0041708	LOC284379	GSE43942_PEvC
NM_002182		0.004174086	IL1RAP	GSE43942_PEvC
NM_018071		0.00418985	FLJ10357	GSE43942_PEvC
NM_016438		0.004189911	HIGD1B	GSE43942_PEvC
XM_934873		0.004189957	LOC653562	GSE43942_PEvC
AK000938		0.00419209	ZNF691	GSE43942_PEvC
AB177859		0.004197557	PHLDB1	GSE43942_PEvC
NM_001005476		0.004198302	PKP4	GSE43942_PEvC
BC011732		0.004199459	GIMAP5	GSE43942_PEvC
BC098111		0.004207293	PART1	GSE43942_PEvC
NM_004368		0.004223459	CNN2	GSE43942_PEvC
NM_020335		0.00423229	VANGL2	GSE43942_PEvC
NM_000381		0.004233642	MID1	GSE43942_PEvC
NM_201633		0.004242152	TCF7	GSE43942_PEvC
NM_000857		0.004275129	GUCY1B3	GSE43942_PEvC
NM_001110		0.004275803	ADAM10	GSE43942_PEvC
NM_003206		0.004316192	TCF21	GSE43942_PEvC
NM_001005615		0.004327403	EDA	GSE43942_PEvC
BC098105		0.004333028	ANKRD25	GSE43942_PEvC
BC050705		0.004381473	PPME1	GSE43942_PEvC
BC048302		0.004397928	SLC35F2	GSE43942_PEvC
NM_144727		0.004414067	CRYGN	GSE43942_PEvC
AK124676		0.004415925	BCORL1	GSE43942_PEvC
NM_003670		0.004417669	BHLHB2	GSE43942_PEvC
NM_024007		0.004427687	EBF	GSE43942_PEvC
XM_931363		0.004442361	FMN1	GSE43942_PEvC
NM_014333		0.004467147	IGSF4	GSE43942_PEvC
NM_000757		0.004473096	CSF1	GSE43942_PEvC
XM_930719		0.004495097	LOC653047	GSE43942_PEvC
NM_130778		0.004508517	COL17A1	GSE43942_PEvC
NM_002461		0.004535508	MVD	GSE43942_PEvC
M60174		0.004541488	CYB5A	GSE43942_PEvC
BC109083		0.004548679	CYP24A1	GSE43942_PEvC
BC015928		0.004558578	ARRDC3	GSE43942_PEvC
NM_017990		0.004578816	PDPR	GSE43942_PEvC
NM_006640		0.004579735	9-Sep	GSE43942_PEvC
AF060152		0.004603479	ADAMTS1	GSE43942_PEvC
NM_021647		0.004603891	MFAP3L	GSE43942_PEvC
BC007628		0.004634089	KRT19	GSE43942_PEvC
BC041595		0.004646012	FARP1	GSE43942_PEvC
NM_014571		0.004658012	HEYL	GSE43942_PEvC
BC079834		0.004663133	N/A	GSE43942_PEvC
NM_198841		0.004683734	C9orf10OS	GSE43942_PEvC
AK126766		0.004698752	LEPREL2	GSE43942_PEvC
AY137774		0.004707342	FRMD3	GSE43942_PEvC
BC009011		0.004715921	FADS2	GSE43942_PEvC
AK075364		0.004724816	C4orf13	GSE43942_PEvC
NM_005542		0.004727638	INSIG1	GSE43942_PEvC
NM_172004		0.004734539	DCAL1	GSE43942_PEvC
NM_002195		0.004773051	INSL4	GSE43942_PEvC
NM_199297		0.00478511	THYN1	GSE43942_PEvC
BC002882		0.004791391	C16orf5	GSE43942_PEvC
BX648113		0.004799125	DDX26B	GSE43942_PEvC
NM_018214		0.004823391	LRRC1	GSE43942_PEvC
BC110598		0.004833564	KCTD11	GSE43942_PEvC
BC008309		0.004839947	LITAF	GSE43942_PEvC
NM_153692		0.00484208	HTRA4	GSE43942_PEvC
BC007366		0.004860291	C9orf70	GSE43942_PEvC
AK124238		0.004865672	N/A	GSE43942_PEvC
NM_144599		0.004890251	NIPA1	GSE43942_PEvC
BC064593		0.004896083	DCP2	GSE43942_PEvC
BC020635		0.004912339	FCN1	GSE43942_PEvC
AK096540		0.004972296	NEBL	GSE43942_PEvC
NM_003475		0.004977068	RASSF7	GSE43942_PEvC
NM_004158		0.004982199	PSPN	GSE43942_PEvC
NM_213674		0.004990728	TPM2	GSE43942_PEvC
NM_057092		0.004993001	FKBP2	GSE43942_PEvC
BC001114		0.004995694	PSMB8	GSE43942_PEvC
BC066912		0.004997837	MFAP3L	GSE43942_PEvC
NM_001015881		0.005019072	TSC22D3	GSE43942_PEvC
NM_025235		0.005054124	TNKS2	GSE43942_PEvC
