A	Coef.EOvsC	Coef.LOvsC	t.EOvsC	t.LOvsC	p.value.EOvsC	p.value.LOvsC	p.value.adj.EOvsC	p.value.adj.LOvsC	F	F.p.value	Res.EOvsC	Res.LOvsC	Genes.ProbeID	Genes.EntrezGeneID	Genes.GeneSymbol
-1.14	-1.351	-0.295	-2.28	-0.5	0.03961	0.62598	0.303571	0.9361	3.03	0.0824	0	0	NA	NA	NA
-0.06	-1.386	-0.077	-1.79	-0.1	0.09565	0.92196	0.421208	0.988811	2.19	0.15066	0	0	NA	NA	NA
0	-0.682	-0.509	-1.31	-0.98	0.21276	0.34627	0.562164	0.855327	0.9	0.42938	0	0	NA	NA	NA
0.01	-0.031	0.032	-0.05	0.06	0.95699	0.9556	0.987358	0.994166	0.01	0.99301	0	0	NA	NA	NA
-0.15	-0.363	-0.215	-1.04	-0.62	0.31673	0.54765	0.65541	0.916814	0.54	0.59375	0	0	NA	NA	NA
-0.13	-0.255	0.014	-1.14	0.06	0.2763	0.95112	0.622845	0.993494	0.99	0.39669	0	0	NA	NA	NA
0.41	0.479	0.63	1.29	1.7	0.21889	0.11307	0.568612	0.747733	1.53	0.25302	0	0	NA	NA	NA
-0.16	-0.56	-0.474	-2.21	-1.87	0.04497	0.08314	0.317633	0.725507	2.75	0.10022	0	0	NA	NA	NA
-0.01	-0.027	-0.188	-0.13	-0.88	0.89971	0.39313	0.967744	0.874005	0.48	0.62663	0	0	NA	NA	NA
0.12	-0.004	-0.398	-0.01	-0.72	0.99472	0.48502	0.999249	0.905169	0.37	0.69811	0	0	NA	NA	NA
-0.3	-0.113	-0.476	-0.62	-2.58	0.54827	0.02239	0.81256	0.623532	3.82	0.04883	0	0	NA	NA	NA
0.01	-0.136	-0.138	-1.05	-1.06	0.31417	0.30696	0.653167	0.840199	0.71	0.50722	0	0	NA	NA	NA
-0.01	-0.187	-0.15	-2.33	-1.87	0.03624	0.08396	0.29395	0.725507	2.95	0.08702	0	0	NA	NA	NA
-0.24	-0.428	-0.169	-1.48	-0.59	0.16118	0.56789	0.509252	0.922694	1.14	0.34857	0	0	NA	NA	NA
-0.07	-0.236	-0.186	-1.88	-1.48	0.08197	0.16154	0.395769	0.770256	1.91	0.18681	0	0	NA	NA	NA
0	-0.29	-0.05	-1.52	-0.26	0.15079	0.79657	0.494706	0.968278	1.41	0.27864	0	0	NA	NA	NA
0.02	-0.335	-0.37	-1.86	-2.06	0.08504	0.06	0.40087	0.70261	2.49	0.12095	0	0	NA	NA	NA
-0.07	0.09	0.068	0.76	0.57	0.46015	0.57762	0.758791	0.925669	0.31	0.74201	0	0	NA	NA	NA
0.09	-0.136	0.016	-0.97	0.11	0.34899	0.913	0.681278	0.987499	0.78	0.47941	0	0	NA	NA	NA
-0.2	0.268	0.188	0.55	0.39	0.58844	0.70438	0.832674	0.95304	0.16	0.85515	0	0	NA	NA	NA
-0.14	-0.792	-0.454	-2.31	-1.32	0.03767	0.20875	0.297588	0.793738	2.67	0.10636	0	0	NA	NA	NA
-0.1	-0.108	-0.185	-0.53	-0.91	0.60488	0.38123	0.841245	0.868695	0.41	0.67135	0	0	NA	NA	NA
-0.12	-0.58	-0.523	-2.18	-1.97	0.04748	0.07023	0.325262	0.711826	2.8	0.09688	0	0	NA	NA	NA
0.22	-0.091	-0.09	-0.43	-0.42	0.67577	0.67841	0.877988	0.9474	0.12	0.89089	0	0	NA	NA	NA
-0.12	-0.36	-0.441	-2.1	-2.57	0.05541	0.023	0.344256	0.623532	3.63	0.05533	0	0	NA	NA	NA
-0.13	-0.407	-0.139	-0.9	-0.31	0.38263	0.76229	0.704644	0.963939	0.43	0.65642	0	0	NA	NA	NA
0.09	-0.033	0.044	-0.24	0.32	0.81605	0.75197	0.938963	0.961897	0.18	0.83928	0	0	NA	NA	NA
0.23	-0.396	0.026	-0.84	0.06	0.41401	0.95643	0.72716	0.99427	0.55	0.58724	0	0	NA	NA	NA
-0.23	-0.283	-0.196	-1.53	-1.06	0.1491	0.30661	0.492779	0.839929	1.21	0.33032	0	0	NA	NA	NA
-0.51	-0.841	-0.108	-1.25	-0.16	0.23141	0.87388	0.581856	0.982694	0.99	0.39622	0	0	NA	NA	NA
-0.11	0.048	-0.014	0.15	-0.04	0.88461	0.96713	0.962686	0.995903	0.02	0.97818	0	0	NA	NA	NA
0.25	-0.748	-0.129	-0.99	-0.17	0.34042	0.86729	0.673909	0.981248	0.59	0.56678	0	0	NA	NA	NA
0.09	-0.355	-0.053	-2.43	-0.37	0.03017	0.72013	0.276968	0.956842	3.64	0.05484	0	0	NA	NA	NA
0.14	0.396	0.065	2.4	0.39	0.03169	0.70151	0.281993	0.952229	3.52	0.05923	0	0	NA	NA	NA
-0.09	-0.394	-0.085	-3.77	-0.82	0.00227	0.42804	0.118086	0.886549	8.28	0.00464	0	0	NA	NA	NA
-0.2	-0.148	0.116	-0.64	0.5	0.53089	0.62391	0.802936	0.935546	0.74	0.49526	0	0	NA	NA	NA
-0.11	-0.237	-0.222	-1.55	-1.45	0.14492	0.17051	0.488224	0.772686	1.45	0.26941	0	0	NA	NA	NA
0.73	-1.295	-0.325	-1.37	-0.34	0.19467	0.73703	0.545315	0.960023	1.06	0.37471	0	0	NA	NA	NA
0.43	-0.964	0.047	-0.97	0.05	0.35132	0.96344	0.683002	0.995477	0.71	0.50816	0	0	NA	NA	NA
-0.08	-0.931	-0.435	-3.1	-1.45	0.00821	0.17071	0.185001	0.772804	4.87	0.02591	0	0	NA	NA	NA
-0.09	-0.333	-0.451	-1.28	-1.73	0.22233	0.10613	0.572379	0.741099	1.58	0.24325	0	0	NA	NA	NA
-0.78	-0.62	-0.496	-1.41	-1.13	0.18038	0.27748	0.529754	0.828183	1.09	0.36552	0	0	NA	NA	NA
0.03	-0.189	-0.168	-0.98	-0.87	0.34651	0.40147	0.679114	0.877839	0.55	0.58821	0	0	NA	NA	NA
-0.06	-0.12	-0.136	-0.77	-0.88	0.45198	0.39353	0.753721	0.874005	0.45	0.64848	0	0	NA	NA	NA
-0.18	-0.559	-0.053	-1.74	-0.16	0.10525	0.8722	0.437747	0.982619	1.98	0.17732	0	0	NA	NA	NA
-0.26	-0.473	-0.299	-1.99	-1.26	0.06699	0.22895	0.369046	0.802191	2.01	0.17318	0	0	NA	NA	NA
-0.05	-0.422	-0.186	-2.43	-1.07	0.02986	0.30185	0.276411	0.838785	3.01	0.08337	0	0	NA	NA	NA
-0.67	-1.018	-0.195	-1.92	-0.37	0.07711	0.71941	0.387544	0.956609	2.19	0.15091	0	0	NA	NA	NA
-0.21	-0.631	-0.17	-1.44	-0.39	0.17175	0.70242	0.521016	0.95229	1.17	0.34149	0	0	NA	NA	NA
-0.09	-0.797	-0.449	-2.61	-1.47	0.02141	0.16521	0.248229	0.772341	3.4	0.06428	0	0	NA	NA	NA
0.04	-0.926	-0.568	-2.03	-1.24	0.06316	0.2349	0.360236	0.80491	2.07	0.16556	0	0	NA	NA	NA
-0.02	-0.068	0.14	-0.12	0.25	0.90348	0.80336	0.96899	0.970184	0.08	0.92087	0	0	NA	NA	NA
-0.09	-0.536	-0.105	-2.03	-0.4	0.06283	0.69797	0.359309	0.951269	2.45	0.1244	0	0	NA	NA	NA
0.02	-0.328	-0.259	-2.81	-2.22	0.01452	0.04411	0.221421	0.672576	4.26	0.03714	0	0	NA	NA	NA
-0.05	0.4	0.167	1.68	0.7	0.11697	0.49698	0.454017	0.907013	1.44	0.27053	0	0	NA	NA	NA
