probe	logFC	AveExpr	t	P.Value	adj.P.Val	B	symbol
212325_at	0.988977013863637	8.35927397486956	3.60628147205758	0.00137138785692789	0.263723847443132	-0.958464083989024	LIMCH1
200827_at	-0.356635232787879	8.40599112921739	-3.59608347388402	0.00140697294149711	0.265941936762467	-0.980265316476812	PLOD1
214279_s_at	0.292204348371212	6.50159623817391	3.59701689980738	0.00140367864774134	0.265941936762467	-0.978270413077681	NDRG2
219013_at	-0.715087755606061	7.41034423747826	-3.59238597031862	0.00142009678590528	0.266147800171993	-0.988166426656923	GALNT11
203575_at	0.501352141045455	7.41333397856522	3.58760533003506	0.00143724258574103	0.267097645240864	-0.998379362122069	CSNK2A2
213790_at	0.502712827424243	11.2683667243478	3.57996832922824	0.00146505335067844	0.269997123752114	-1.01468799180208	ADAM12
202305_s_at	0.338896085727272	8.11796223234783	3.57247504939759	0.00149285154629698	0.270609933986539	-1.03068200252633	FEZ2
210248_at	-0.258131601409091	7.04879665965217	-3.57461005202938	0.0014848791492736	0.270609933986539	-1.02612573470513	WNT7A
212573_at	-0.250181326537879	7.91565378569565	-3.56005801592183	0.00154005393831093	0.276896689802815	-1.05716846553575	ENDOD1
203446_s_at	0.371887308295455	7.87226437830435	3.55498199206356	0.00155976699621766	0.278179412268981	-1.06798980748388	OCRL
203031_s_at	-0.244671702280303	6.42181368217391	-3.54586020063109	0.00159581300944779	0.280859242657456	-1.08742697615054	UROS
214107_x_at	0.298437160568181	8.41720537082609	3.54476557595894	0.00160019283630294	0.280859242657456	-1.08975866017997	LOC440434
202967_at	-0.372556374310606	9.77421769095652	-3.54104609349314	0.00161516312303287	0.281254586345449	-1.09768032670396	GSTA4
220266_s_at	0.683228387507576	7.89371138569565	3.53782177886453	0.00162825097428172	0.281318517939376	-1.10454578374566	KLF4
203925_at	-0.433806206530303	6.9608829683913	-3.51792523269455	0.00171133273383044	0.291124026220462	-1.14687746031926	GCLM
216272_x_at	0.429820934484848	9.50187470778261	3.52078679408851	0.0016991340427169	0.291124026220462	-1.14079282530676	SYDE1
218850_s_at	0.441349105106061	7.77310085304348	3.51275638131758	0.00173358410694115	0.29265811087789	-1.15786506873325	LIMD1
218186_at	0.6654516285	7.981414358	3.49920991681176	0.00179324710637396	0.300436816344396	-1.18664216122141	RAB25
203592_s_at	1.09659232710606	10.184261973913	3.49453598203261	0.00181429336905672	0.301677427493905	-1.19656463012386	FSTL3
202952_s_at	0.352341012575758	12.5619596026087	3.48629861042873	0.00185197281577858	0.305644618066741	-1.21404384824623	ADAM12
202018_s_at	0.894632389174243	6.77449037169565	3.47651093941964	0.0018977353866656	0.310877170934147	-1.23479896031327	LTF
200743_s_at	0.283612860136363	10.1629248023913	3.46954803052104	0.00193095917504713	0.313339066071272	-1.24955486648724	TPP1
204755_x_at	-0.624516577651516	6.86251064465217	-3.46559935963374	0.0019500513559719	0.313339066071272	-1.25791952292643	HLF
214268_s_at	0.552023811992423	10.0092862377391	3.46402530774381	0.00195771316204282	0.313339066071272	-1.26125321576962	MTMR4
214455_at	-0.497466794181819	5.72322601056522	-3.46003363938194	0.00197727450274692	0.313339066071272	-1.26970540551684	HIST1H2BC /// HIST1H2BE /// HIST1H2BF /// HIST1H2BG /// HIST1H2BI
218384_at	0.357566693954545	9.87728656352174	3.45874966460095	0.0019836070201211	0.313339066071272	-1.2724236218879	CARHSP1
